16x16 , 256 , ['ldr'] , ['asm'  '-j'  '1'] , 57472
32x32 , 1024 , ['ldr'] , ['asm'  '-j'  '1'] , 242505
64x64 , 4096 , ['ldr'] , ['asm'  '-j'  '1'] , 1464528
128x128 , 16384 , ['ldr'] , ['asm'  '-j'  '1'] , 5335100
256x256 , 65536 , ['ldr'] , ['asm'  '-j'  '1'] , 14058042
512x512 , 262144 , ['ldr'] , ['asm'  '-j'  '1'] , 45120793
1024x1024 , 1048576 , ['ldr'] , ['asm'  '-j'  '1'] , 184662278
2048x2048 , 4194304 , ['ldr'] , ['asm'  '-j'  '1'] , 747580168
4096x4096 , 16777216 , ['ldr'] , ['asm'  '-j'  '1'] , 2990173719
8192x8192 , 67108864 , ['ldr'] , ['asm'  '-j'  '1'] , 11954382922
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '2'] , 16112
32x16 , 512 , ['ldr'] , ['asm'  '-j'  '2'] , 17700
64x16 , 1024 , ['ldr'] , ['asm'  '-j'  '2'] , 33905
128x16 , 2048 , ['ldr'] , ['asm'  '-j'  '2'] , 110950
256x16 , 4096 , ['ldr'] , ['asm'  '-j'  '2'] , 152728
512x16 , 8192 , ['ldr'] , ['asm'  '-j'  '2'] , 243155
1024x16 , 16384 , ['ldr'] , ['asm'  '-j'  '2'] , 545770
2048x16 , 32768 , ['ldr'] , ['asm'  '-j'  '2'] , 2218230
4096x16 , 65536 , ['ldr'] , ['asm'  '-j'  '2'] , 1432548
8192x16 , 131072 , ['ldr'] , ['asm'  '-j'  '2'] , 2868145
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '2'] , 16112
16x32 , 512 , ['ldr'] , ['asm'  '-j'  '2'] , 17535
16x64 , 1024 , ['ldr'] , ['asm'  '-j'  '2'] , 39825
16x128 , 2048 , ['ldr'] , ['asm'  '-j'  '2'] , 94000
16x256 , 4096 , ['ldr'] , ['asm'  '-j'  '2'] , 153712
16x512 , 8192 , ['ldr'] , ['asm'  '-j'  '2'] , 331643
16x1024 , 16384 , ['ldr'] , ['asm'  '-j'  '2'] , 516940
16x2048 , 32768 , ['ldr'] , ['asm'  '-j'  '2'] , 967340
16x4096 , 65536 , ['ldr'] , ['asm'  '-j'  '2'] , 2038210
16x8192 , 131072 , ['ldr'] , ['asm'  '-j'  '2'] , 2814930
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '2'] , 16112
32x32 , 1024 , ['ldr'] , ['asm'  '-j'  '2'] , 31754
64x64 , 4096 , ['ldr'] , ['asm'  '-j'  '2'] , 182066
128x128 , 16384 , ['ldr'] , ['asm'  '-j'  '2'] , 730219
256x256 , 65536 , ['ldr'] , ['asm'  '-j'  '2'] , 2095244
512x512 , 262144 , ['ldr'] , ['asm'  '-j'  '2'] , 7208144
1024x1024 , 1048576 , ['ldr'] , ['asm'  '-j'  '2'] , 29989011
2048x2048 , 4194304 , ['ldr'] , ['asm'  '-j'  '2'] , 121325329
4096x4096 , 16777216 , ['ldr'] , ['asm'  '-j'  '2'] , 487478788
8192x8192 , 67108864 , ['ldr'] , ['asm'  '-j'  '2'] , 1964905989
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '3'] , 4136
32x16 , 512 , ['ldr'] , ['asm'  '-j'  '3'] , 8045
64x16 , 1024 , ['ldr'] , ['asm'  '-j'  '3'] , 34350
128x16 , 2048 , ['ldr'] , ['asm'  '-j'  '3'] , 46791
256x16 , 4096 , ['ldr'] , ['asm'  '-j'  '3'] , 71036
512x16 , 8192 , ['ldr'] , ['asm'  '-j'  '3'] , 112600
1024x16 , 16384 , ['ldr'] , ['asm'  '-j'  '3'] , 258355
2048x16 , 32768 , ['ldr'] , ['asm'  '-j'  '3'] , 405617
4096x16 , 65536 , ['ldr'] , ['asm'  '-j'  '3'] , 631088
8192x16 , 131072 , ['ldr'] , ['asm'  '-j'  '3'] , 1289240
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '3'] , 4136
16x32 , 512 , ['ldr'] , ['asm'  '-j'  '3'] , 4633
16x64 , 1024 , ['ldr'] , ['asm'  '-j'  '3'] , 16831
16x128 , 2048 , ['ldr'] , ['asm'  '-j'  '3'] , 38535
16x256 , 4096 , ['ldr'] , ['asm'  '-j'  '3'] , 50920
16x512 , 8192 , ['ldr'] , ['asm'  '-j'  '3'] , 153521
16x1024 , 16384 , ['ldr'] , ['asm'  '-j'  '3'] , 227065
16x2048 , 32768 , ['ldr'] , ['asm'  '-j'  '3'] , 369542
16x4096 , 65536 , ['ldr'] , ['asm'  '-j'  '3'] , 775480
16x8192 , 131072 , ['ldr'] , ['asm'  '-j'  '3'] , 1085324
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '3'] , 4136
32x32 , 1024 , ['ldr'] , ['asm'  '-j'  '3'] , 13092
64x64 , 4096 , ['ldr'] , ['asm'  '-j'  '3'] , 64000
128x128 , 16384 , ['ldr'] , ['asm'  '-j'  '3'] , 283090
256x256 , 65536 , ['ldr'] , ['asm'  '-j'  '3'] , 762473
512x512 , 262144 , ['ldr'] , ['asm'  '-j'  '3'] , 2519328
1024x1024 , 1048576 , ['ldr'] , ['asm'  '-j'  '3'] , 10898728
2048x2048 , 4194304 , ['ldr'] , ['asm'  '-j'  '3'] , 49164106
4096x4096 , 16777216 , ['ldr'] , ['asm'  '-j'  '3'] , 196032616
8192x8192 , 67108864 , ['ldr'] , ['asm'  '-j'  '3'] , 809248441
